ID: 301, Score: 73, Country: C3
ID: 162, Score: 73, Country: C1
ID: 572, Score: 71, Country: C5
ID: 411, Score: 71, Country: C4
ID: 366, Score: 70, Country: C3
ID: 159, Score: 68, Country: C1
ID: 555, Score: 68, Country: C5
ID: 269, Score: 67, Country: C2
ID: 336, Score: 67, Country: C3
ID: 418, Score: 67, Country: C4
ID: 524, Score: 67, Country: C5
ID: 368, Score: 66, Country: C3
ID: 354, Score: 65, Country: C3
ID: 553, Score: 65, Country: C5
ID: 356, Score: 64, Country: C3
ID: 142, Score: 64, Country: C1
ID: 321, Score: 64, Country: C3
ID: 104, Score: 64, Country: C1
ID: 342, Score: 63, Country: C3
ID: 505, Score: 63, Country: C5
ID: 257, Score: 63, Country: C2
ID: 244, Score: 63, Country: C2
ID: 123, Score: 63, Country: C1
ID: 571, Score: 63, Country: C5
ID: 568, Score: 63, Country: C5
ID: 361, Score: 63, Country: C3
ID: 158, Score: 63, Country: C1
ID: 442, Score: 63, Country: C4
ID: 503, Score: 62, Country: C5
ID: 250, Score: 62, Country: C2
ID: 217, Score: 62, Country: C2
ID: 202, Score: 62, Country: C2
ID: 349, Score: 62, Country: C3
ID: 438, Score: 62, Country: C4
ID: 466, Score: 62, Country: C4
ID: 271, Score: 61, Country: C2
ID: 302, Score: 61, Country: C3
ID: 210, Score: 61, Country: C2
ID: 201, Score: 61, Country: C2
ID: 115, Score: 61, Country: C1
ID: 359, Score: 61, Country: C3
ID: 128, Score: 61, Country: C1
ID: 543, Score: 61, Country: C5
ID: 406, Score: 61, Country: C4
ID: 258, Score: 60, Country: C2
ID: 256, Score: 60, Country: C2
ID: 251, Score: 60, Country: C2
ID: 403, Score: 60, Country: C4
ID: 452, Score: 60, Country: C4
ID: 464, Score: 60, Country: C4
ID: 176, Score: 59, Country: C1
ID: 373, Score: 59, Country: C3
ID: 518, Score: 59, Country: C5
ID: 322, Score: 59, Country: C3
ID: 127, Score: 59, Country: C1
ID: 328, Score: 59, Country: C3
ID: 108, Score: 59, Country: C1
ID: 148, Score: 59, Country: C1
ID: 230, Score: 58, Country: C2
ID: 223, Score: 58, Country: C2
ID: 365, Score: 58, Country: C3
ID: 112, Score: 58, Country: C1
ID: 459, Score: 58, Country: C4
ID: 404, Score: 58, Country: C4
ID: 193, Score: 57, Country: C1
ID: 253, Score: 57, Country: C2
ID: 313, Score: 57, Country: C3
ID: 231, Score: 57, Country: C2
ID: 451, Score: 57, Country: C4
ID: 419, Score: 57, Country: C4
ID: 482, Score: 57, Country: C4
ID: 145, Score: 57, Country: C1
ID: 270, Score: 56, Country: C2
ID: 184, Score: 56, Country: C1
ID: 252, Score: 56, Country: C2
ID: 527, Score: 56, Country: C5
ID: 352, Score: 56, Country: C3
ID: 157, Score: 56, Country: C1
ID: 375, Score: 56, Country: C3
ID: 564, Score: 56, Country: C5
ID: 517, Score: 56, Country: C5
ID: 569, Score: 55, Country: C5
ID: 273, Score: 55, Country: C2
ID: 234, Score: 55, Country: C2
ID: 224, Score: 55, Country: C2
ID: 414, Score: 55, Country: C4
ID: 160, Score: 55, Country: C1
ID: 548, Score: 55, Country: C5
ID: 338, Score: 55, Country: C3
ID: 109, Score: 55, Country: C1
ID: 450, Score: 55, Country: C4
ID: 538, Score: 55, Country: C5
ID: 376, Score: 54, Country: C3
ID: 427, Score: 54, Country: C4
ID: 185, Score: 54, Country: C1
ID: 305, Score: 54, Country: C3
ID: 214, Score: 54, Country: C2
ID: 208, Score: 54, Country: C2
ID: 150, Score: 54, Country: C1
ID: 156, Score: 54, Country: C1
ID: 106, Score: 54, Country: C1
ID: 432, Score: 54, Country: C4
ID: 465, Score: 54, Country: C4
ID: 343, Score: 54, Country: C3
ID: 151, Score: 54, Country: C1
ID: 461, Score: 54, Country: C4
ID: 558, Score: 54, Country: C5
ID: 144, Score: 54, Country: C1
ID: 380, Score: 53, Country: C3
ID: 510, Score: 53, Country: C5
ID: 504, Score: 53, Country: C5
ID: 267, Score: 53, Country: C2
ID: 221, Score: 53, Country: C2
ID: 578, Score: 53, Country: C5
ID: 562, Score: 53, Country: C5
ID: 525, Score: 53, Country: C5
ID: 275, Score: 52, Country: C2
ID: 183, Score: 52, Country: C1
ID: 326, Score: 52, Country: C3
ID: 312, Score: 52, Country: C3
ID: 574, Score: 52, Country: C5
ID: 557, Score: 52, Country: C5
ID: 471, Score: 52, Country: C4
ID: 358, Score: 52, Country: C3
ID: 479, Score: 52, Country: C4
ID: 566, Score: 52, Country: C5
ID: 125, Score: 52, Country: C1
ID: 274, Score: 51, Country: C2
ID: 249, Score: 51, Country: C2
ID: 246, Score: 51, Country: C2
ID: 175, Score: 51, Country: C1
ID: 171, Score: 51, Country: C1
ID: 166, Score: 51, Country: C1
ID: 233, Score: 51, Country: C2
ID: 147, Score: 51, Country: C1
ID: 211, Score: 51, Country: C2
ID: 216, Score: 51, Country: C2
ID: 371, Score: 51, Country: C3
ID: 114, Score: 51, Country: C1
ID: 546, Score: 51, Country: C5
ID: 337, Score: 51, Country: C3
ID: 116, Score: 51, Country: C1
ID: 134, Score: 51, Country: C1
ID: 351, Score: 51, Country: C3
ID: 559, Score: 50, Country: C5
ID: 420, Score: 50, Country: C4
ID: 307, Score: 50, Country: C3
ID: 369, Score: 50, Country: C3
ID: 362, Score: 50, Country: C3
ID: 579, Score: 50, Country: C5
ID: 550, Score: 50, Country: C5
ID: 401, Score: 50, Country: C4
ID: 487, Score: 50, Country: C4
ID: 131, Score: 50, Country: C1
ID: 347, Score: 50, Country: C3
ID: 446, Score: 50, Country: C4
ID: 334, Score: 50, Country: C3
ID: 155, Score: 50, Country: C1
ID: 424, Score: 49, Country: C4
ID: 511, Score: 49, Country: C5
ID: 277, Score: 49, Country: C2
ID: 239, Score: 49, Country: C2
ID: 317, Score: 49, Country: C3
ID: 332, Score: 49, Country: C3
ID: 323, Score: 49, Country: C3
ID: 573, Score: 49, Country: C5
ID: 360, Score: 49, Country: C3
